Date,Time,Activity,Confidence,Activity
11/25/2017,1:44 PM,In a vehicle,0.94,2
11/25/2017,1:45 PM,In a vehicle,0.99,2
11/25/2017,1:45 PM,In a vehicle,0.98,2
11/25/2017,1:45 PM,In a vehicle,0.99,2
11/25/2017,1:45 PM,In a vehicle,0.96,2
11/25/2017,1:45 PM,In a vehicle,0.99,2
11/25/2017,1:45 PM,In a vehicle,0.91,2
11/25/2017,1:45 PM,In a vehicle,0.87,2
11/25/2017,1:45 PM,In a vehicle,0.92,2
11/25/2017,1:45 PM,In a vehicle,0.9,2
11/25/2017,1:46 PM,Still,0.43,0
11/25/2017,1:46 PM,In a vehicle,0.95,2
11/25/2017,1:46 PM,In a vehicle,0.96,2
11/25/2017,1:46 PM,In a vehicle,0.96,2
11/25/2017,1:46 PM,In a vehicle,0.98,2
11/25/2017,1:46 PM,In a vehicle,0.96,2
11/25/2017,1:47 PM,In a vehicle,0.93,2
11/25/2017,1:47 PM,In a vehicle,0.95,2
11/25/2017,1:47 PM,In a vehicle,0.99,2
11/25/2017,1:47 PM,In a vehicle,0.97,2
11/25/2017,1:47 PM,In a vehicle,0.97,2
11/25/2017,1:47 PM,In a vehicle,0.99,2
11/25/2017,1:47 PM,In a vehicle,0.94,2
11/25/2017,1:47 PM,In a vehicle,0.95,2
11/25/2017,1:47 PM,In a vehicle,0.95,2
11/25/2017,1:47 PM,In a vehicle,0.83,2
11/25/2017,1:47 PM,In a vehicle,0.77,2
11/25/2017,1:47 PM,In a vehicle,0.81,2
11/25/2017,1:48 PM,In a vehicle,0.73,2
11/25/2017,1:48 PM,In a vehicle,0.98,2
11/25/2017,1:48 PM,In a vehicle,0.99,2
11/25/2017,1:48 PM,In a vehicle,0.99,2
11/25/2017,1:48 PM,In a vehicle,0.93,2
11/25/2017,1:48 PM,In a vehicle,0.99,2
11/25/2017,1:48 PM,In a vehicle,0.85,2
11/25/2017,1:48 PM,In a vehicle,0.99,2
11/25/2017,1:48 PM,In a vehicle,0.99,2
11/25/2017,1:49 PM,In a vehicle,0.99,2
11/25/2017,1:49 PM,In a vehicle,0.99,2
11/25/2017,1:49 PM,In a vehicle,0.98,2
11/25/2017,1:49 PM,In a vehicle,0.96,2
11/25/2017,1:49 PM,In a vehicle,0.96,2
11/25/2017,1:49 PM,In a vehicle,0.99,2
11/25/2017,1:49 PM,In a vehicle,0.92,2
11/25/2017,1:49 PM,In a vehicle,0.99,2
11/25/2017,1:49 PM,In a vehicle,0.99,2
11/25/2017,1:49 PM,In a vehicle,0.97,2
11/25/2017,1:49 PM,In a vehicle,0.9,2
11/25/2017,1:50 PM,In a vehicle,0.6,2
11/25/2017,1:50 PM,In a vehicle,0.75,2
11/25/2017,1:51 PM,In a vehicle,0.89,2
11/25/2017,1:51 PM,In a vehicle,0.99,2
11/25/2017,1:51 PM,In a vehicle,0.96,2
11/25/2017,1:51 PM,In a vehicle,0.85,2
11/25/2017,1:51 PM,In a vehicle,0.99,2
11/25/2017,1:51 PM,In a vehicle,0.55,2
11/25/2017,1:51 PM,In a vehicle,0.96,2
11/25/2017,1:51 PM,In a vehicle,0.99,2
11/25/2017,1:51 PM,In a vehicle,0.99,2
