Ax,Ay,Az,Gx,Gy,Gz,Mx,My,Mz,Lable
0.429,9.674,1.463,0.07940674,0.14428711,-0.039093018,-6.6875,-40.3125,27.75,standing
0.372,9.737,1.218,0.041000366,-0.026489258,0.012298584,-6,-39.5,27.75,standing
0.52,9.871,1.419,-0.04878235,-0.03744507,-0.010910034,-5.4375,-40,27.125,standing
0.61,9.612,1.372,0.008911133,-0.097351074,0.02217102,-5.25,-41.5625,27.375,standing
0.677,9.536,1.333,-0.023727417,0.18914795,-0.07672119,-8.4375,-40.9375,26.6875,standing
0.696,9.717,1.563,0.008575439,-0.009902954,0.02255249,-7.8125,-40.9375,26,standing
1.18,9.641,1.989,-0.15638733,-0.21757507,0.12223816,-7.9375,-41.375,25.9375,standing
0.739,9.646,1.558,0.025680542,-0.013442993,-0.0105896,-7.1875,-41.5625,26.75,standing
0.61,9.698,1.424,-0.00869751,0.019561768,0.006713867,-7.625,-41,27.1875,standing
0.672,9.698,1.429,-0.007797241,-0.019317627,0.014160156,-7.5625,-40.6875,27.6875,standing
0.682,9.708,1.51,0.018997192,0.055892944,0.012176514,-7.9375,-40.5625,26.6875,standing
0.768,9.684,1.51,0.01512146,-0.056854248,-0.00819397,-7.625,-41.1875,26.875,standing
0.691,9.689,1.515,-0.002639771,0.001480103,-0.005874634,-8,-40.6875,26.6875,standing
0.782,9.693,1.544,0.007369995,0.057052612,-0.017364502,-7.75,-40.6875,27.125,standing
0.706,9.66,1.419,0.028640747,0.06510925,-0.006362915,-7.75,-41.3125,26.75,standing
1.127,9.77,1.606,-0.08493042,-0.2505951,0.112716675,-6.25,-40.875,27.5625,standing
0.931,9.689,1.113,-0.068359375,-0.21388245,0.18345642,-6.4375,-39.5,28.5625,standing
0.629,9.756,0.917,-0.030303955,-0.065338135,0.002349854,-6.0625,-39.375,29.375,standing
0.61,9.77,0.96,0.002578735,-0.024475098,0.008270264,-7.4375,-39.5,29.1875,standing
0.596,9.765,0.936,0.0640564,0.08242798,-0.06916809,-7.8125,-39.5,28.75,standing
